nm	n	k
300	1.48933756	0
305	1.48791122	0
310	1.486485	0
315	1.48521221	0
320	1.48393941	0
325	1.48279774	0
330	1.48165619	0
335	1.48062766	0
340	1.47959912	0
345	1.47866833	0
350	1.47773767	0
355	1.47689223	0
360	1.4760468	0
365	1.47527599	0
370	1.47450531	0
375	1.47380018	0
380	1.47309518	0
385	1.47244811	0
390	1.47180104	0
395	1.47120535	0
400	1.47060978	0
405	1.47005999	0
410	1.46951032	0
415	1.46900141	0
420	1.46849263	0
425	1.46802044	0
430	1.46754825	0
435	1.46710908	0
440	1.46666992	0
445	1.46626043	0
450	1.46585107	0
455	1.46546865	0
460	1.4650861	0
465	1.46473897	0
470	1.46439195	0
475	1.46404493	0
480	1.46369779	0
485	1.46339118	0
490	1.46308446	0
495	1.46277773	0
500	1.46247113	0
505	1.46219814	0
510	1.46192527	0
515	1.46165228	0
520	1.46137929	0
525	1.46113467	0
530	1.46089005	0
535	1.46064532	0
540	1.4604007	0
545	1.46018004	0
550	1.45995939	0
555	1.45973873	0
560	1.45951807	0
565	1.4593178	0
570	1.45911753	0
575	1.45891726	0
580	1.45871699	0
585	1.45853412	0
590	1.45835125	0
595	1.45816851	0
600	1.45798564	0
605	1.45780277	0
610	1.45761991	0
615	1.45743704	0
620	1.45725417	0
625	1.4570713	0
630	1.45688844	0
635	1.45670557	0
640	1.4565227	0
645	1.45633984	0
650	1.45615697	0
655	1.4559741	0
660	1.45579123	0
665	1.45560837	0
670	1.4554255	0
675	1.45524263	0
680	1.45505977	0
685	1.4548769	0
690	1.45469403	0
695	1.45451117	0
700	1.4543283	0
705	1.45414543	0
710	1.45396256	0
715	1.4537797	0
720	1.45359683	0
725	1.45341396	0
730	1.4532311	0
735	1.45304823	0
740	1.45286536	0
745	1.4526825	0
750	1.45249963	0
755	1.45231676	0
760	1.45213389	0
765	1.45195103	0
770	1.45176816	0
775	1.45158529	0
780	1.45140243	0
785	1.45121956	0
790	1.45103669	0
795	1.45085382	0
800	1.45067096	0
805	1.45048809	0
810	1.45030522	0
815	1.45012236	0
820	1.44993949	0
825	1.44975662	0
830	1.44957376	0
835	1.44939089	0
840	1.44920802	0
845	1.44902515	0
850	1.44884229	0
